DEPTH IN,4,5,6,7,8,9,10,12,15,20,25,30,35,40
0.5,100,100,100,100,100,100,100,100,100,100,100,100,100,100
1,97.5,97.7,98,98.2,98.3,98.4,98.5,98.5,98.6,98.6,98.7,98.7,98.8,98.9
1.5,94.8,95.3,95.6,95.9,96.1,96.2,96.4,96.5,96.7,96.8,97,97.1,97.2,97.3
2,92.1,92.8,93.2,93.6,93.8,94,94.3,94.5,94.8,95,95.2,95.4,95.5,95.6
2.5,89.3,90.1,90.7,91.1,91.4,91.7,92,92.3,92.7,93.1,93.3,93.5,93.6,93.7
3,86.4,87.3,88.1,88.6,89,89.3,89.7,90.1,90.5,91.1,91.4,91.6,91.7,91.8
3.5,83.7,84.7,85.5,86.1,86.6,86.9,87.4,87.9,88.4,89.1,89.4,89.7,89.9,90.1
4,81,82,82.9,83.6,84.1,84.5,85,85.7,86.3,87,87.4,87.7,88,88.3
4.5,78.2,79.4,80.3,81.1,81.7,82.2,82.7,83.4,84.2,85,85.4,85.8,86.1,86.4
5,75.4,76.7,77.7,78.6,79.3,79.8,80.4,81.1,82,83,83.4,83.9,84.1,84.4
5.5,72.8,74.1,75.2,76.1,76.9,77.5,78.1,78.9,79.9,80.9,81.5,82,82.3,82.6
6,70.1,71.4,72.6,73.6,74.4,75.1,75.8,76.7,77.8,78.8,79.5,80,80.4,80.7
6.5,67.6,69,70.2,71.3,72.1,72.8,73.5,74.5,75.7,76.8,77.5,78.1,78.5,78.8
7,65.1,66.6,67.8,68.9,69.8,70.5,71.2,72.3,73.5,74.7,75.5,76.1,76.5,76.9
7.5,62.8,64.3,65.5,66.6,67.5,68.3,69,70.2,71.4,72.8,73.7,74.3,74.7,75.1
8,60.4,61.9,63.1,64.3,65.2,66,66.8,68,69.3,70.8,71.8,72.5,72.9,73.3
8.5,58.2,59.7,61,62.2,63.1,64,64.8,66,67.3,68.9,69.9,70.7,71.1,71.6
9,55.9,57.5,58.8,60,61,61.9,62.7,64,65.3,67,68,68.8,69.3,69.8
9.5,53.8,55.4,56.7,58,59,59.9,60.7,62,63.5,65.2,66.2,67,67.6,68.1
10,51.7,53.3,54.6,55.9,57,57.9,58.7,60,61.6,63.3,64.4,65.2,65.8,66.3
10.5,49.8,51.4,52.7,54,55,55.9,56.8,58.1,59.7,61.5,62.7,63.5,64.2,64.7
11,47.9,49.4,50.8,52,52.9,53.9,54.8,56.2,57.8,59.7,60.9,61.8,62.5,63
11.5,46.2,47.7,49,50.2,51.2,52.2,53,54.5,56.1,58,59.3,60.2,60.9,61.4
12,44.4,45.9,47.1,48.3,49.4,50.4,51.2,52.7,54.3,56.3,57.6,58.6,59.2,59.8
12.5,42.8,44.2,45.4,46.6,47.7,48.7,49.6,51,52.7,54.7,56.1,57.1,57.7,58.3
13,41.1,42.5,43.7,44.9,46,47,47.9,49.3,51,53.1,54.5,55.6,56.2,56.8
13.5,39.6,41,42.2,43.4,44.4,45.4,46.3,47.7,49.4,51.6,53,54.1,54.8,55.4
14,38.1,39.4,40.7,41.9,42.8,43.7,44.6,46.1,47.8,50,51.4,52.5,53.3,53.9
14.5,36.7,38,39.2,40.4,41.3,42.2,43.1,44.6,46.4,48.6,50,51.1,51.9,52.5
15,35.2,36.5,37.7,38.8,39.7,40.7,41.6,43.1,44.9,47.1,48.6,49.7,50.5,51.1
15.5,34,35.2,36.4,37.4,38.4,39.4,40.3,41.8,43.5,45.7,47.2,48.4,49.2,49.8
16,32.7,33.9,35,36,37.1,38,38.9,40.4,42.1,44.3,45.8,47,47.9,48.5
16.5,31.4,32.7,33.8,34.8,35.8,36.7,37.6,39.1,40.8,43,44.5,45.7,46.6,47.3
17,30.1,31.4,32.5,33.5,34.5,35.4,36.2,37.7,39.4,41.6,43.2,44.4,45.3,46
17.5,29,30.4,31.4,32.4,33.3,34.2,35,36.5,38.2,40.4,42,43.2,44,44.7
18,27.9,29.4,30.2,31.3,32.1,33,33.8,35.2,37,39.2,40.7,41.9,42.7,43.4
18.5,26.9,28.2,29.1,30.1,31,31.9,32.7,34.1,35.8,38,39.6,40.8,41.6,42.3
19,25.8,26.9,27.9,28.9,29.9,30.7,31.5,32.9,34.6,36.8,38.4,39.6,40.4,41.2
19.5,24.9,25.9,26.9,27.9,28.8,29.6,30.4,31.8,33.5,35.7,37.2,38.5,39.3,40.1
20,23.9,24.9,25.9,26.8,27.6,28.5,29.3,30.7,32.4,34.5,36,37.3,38.1,38.9
20.5,23.1,24.1,25,25.9,26.7,27.6,28.4,29.8,31.4,33.5,35,36.3,37.1,37.9
21,22.2,23.2,24.1,25,25.8,26.6,27.4,28.8,30.4,32.6,34.1,35.3,36.1,36.9
21.5,21.4,22.4,23.2,24.1,24.9,25.7,26.5,27.9,29.4,31.6,33.1,34.3,35.1,35.8
22,20.5,21.5,22.3,23.2,24,24.7,25.5,26.9,28.4,30.6,32.1,33.3,34.1,34.8
22.5,19.8,20.7,21.5,22.4,23.2,23.9,24.7,26,27.5,29.7,31.2,32.4,33.2,33.9
23,19.1,20,20.8,21.6,22.4,23.1,23.9,25.2,26.7,28.8,30.3,31.5,32.3,33
23.5,18.3,19.2,20,20.8,21.5,22.2,23,24.3,25.8,27.9,29.3,30.6,31.4,32.1
24,17.6,18.4,19.2,20,20.7,21.4,22.2,23.4,24.9,27,28.4,29.7,30.5,31.2
24.5,17,17.8,18.5,19.3,20,20.7,21.6,22.7,24.2,26.2,27.6,28.9,29.7,30.4
25,16.3,17.1,17.9,18.7,19.4,20,20.9,22,23.4,25.4,26.8,28.1,28.9,29.6
25.5,15.7,16.5,17.2,18,18.7,19.3,20.3,21.2,22.7,24.6,26,27.2,28,28.7
26,15,15.8,16.5,17.3,18,18.6,19.6,20.5,21.9,23.8,25.2,26.4,27.2,27.9
26.5,14.5,15.3,16,16.7,17.4,18,18.9,19.8,21.3,23.1,24.5,25.7,26.5,27.2
27,14,14.7,15.4,16.2,16.9,17.4,18.2,19.2,20.6,22.5,23.9,25,25.8,26.4
27.5,13.4,14.2,14.9,15.6,16.3,16.8,17.5,18.5,20,21.8,23.2,24.3,25,25.7
28,12.9,13.6,14.3,15,15.7,16.2,16.8,17.8,19.3,21.1,22.5,23.6,24.3,24.9
28.5,12.5,13.2,13.8,14.5,15.2,15.7,16.3,17.3,18.7,20.5,21.9,22.9,23.6,24.2
29,12,12.7,13.3,14,14.6,15.1,15.7,16.7,18.1,19.9,21.2,22.3,23,23.5
29.5,11.6,12.3,12.8,13.4,14.1,14.6,15.2,16.2,17.5,19.2,20.6,21.6,22.3,22.8
30,11.1,11.8,12.3,12.9,13.5,14,14.6,15.6,16.9,18.6,19.9,20.9,21.6,22.1
